receiver_sn,record_time,temperature
UP1,2024-03-22T10:59:19,-8.88
UP1,2024-03-22T11:09:29,-8.81
UP1,2024-03-22T11:19:38,-8.75
UP1,2024-03-22T11:29:46,-8.69
UP1,2024-03-22T11:39:55,-8.63
UP1,2024-03-22T11:50:05,-8.56
UP1,2024-03-22T12:00:14,-8.5
UP1,2024-03-22T12:10:26,-8.38
UP1,2024-03-22T12:20:33,-8.38
UP1,2024-03-22T12:30:42,-8.31
UP1,2024-03-22T12:40:50,-8.25
